WORD,POLARITY
talent,1
bumping,-1
buzzing,-1
hands-down,1
satisfy,1
imaginative,1
appreciates,1
hung,-1
frustration,-1
abrupt,-1
helped,1
drunken,-1
severe,-1
wasting,-1
horrific,-1
weak,-1
crushed,-1
stuck,-1
humor,1
fool,-1
quibbles,-1
overdue,-1
neglected,-1
funny,-1
bravo,1
ashamed,-1
uncomfortably,-1
sunken,-1
floored,-1
prosperity,1
refined,1
desolate,-1
spoiled,-1
confused,-1
strong,1
compliment,1
warmth,1
lighter,1
broken,-1
burning,-1
grating,-1
critic,-1
rigid,-1
entertain,1
snag,-1
vibrant,1
appropriate,1
dungeon,-1
fails,-1
limit,-1
winner,1
delayed,-1
unbearable,-1
crime,-1
benefits,1
disappoints,-1
drawbacks,-1
sophisticated,1
sharp,1
sadly,-1
improper,-1
rip,-1
bore,-1
beware,-1
crap,-1
small,-1
noisy,-1
stumbled,0
melted,1
thinly,-1
blast,1
con,-1
favorite,1
average,0
disappointing,-1
delish,+1
so-so,-1
terrible,-1
